row_index,original_text,detected_entities,entity_types,confidence_scores
28,"Rhyl Coast Rd, Rhyl LL18 3UU, UK",LOCATION:Rhyl Coast Rd; LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
29,"17 Vale St, Denbigh LL16 3AG, UK",PERSON:Vale St; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
30,"Marine Rd, Prestatyn LL19 7HD, UK",LOCATION:UK,LOCATION,0.850
31,"83 Rhyl Rd, Denbigh LL16 3DY, UK",LOCATION:Rhyl Rd; DATE_TIME:3DY; LOCATION:UK,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
32,"Smithfield Rd, Denbigh LL16 3RQ, UK",LOCATION:Smithfield Rd; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
33,"Llandyrnog, Denbigh LL16 4HG, UK",LOCATION:UK,LOCATION,0.850
34,"Bodelwyddan, Rhyl LL18 5UJ, UK",LOCATION:Bodelwyddan; LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
35,"Heol Esgob Stores, Heol Esgob, Saint Asaph LL17 0PN, UK",LOCATION:UK,LOCATION,0.850
36,"131-136 High St, Rhuddlan, Rhyl LL18 2UA, UK",LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
37,"Gronant, Prestatyn LL19 9TT, United Kingdom",PERSON:Gronant; PERSON:Prestatyn LL19 9TT; LOCATION:United Kingdom,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
38,"Denmore Premier Foodstore, 97 Rhyl Coast Rd, Rhyl LL18 3PW, UK",LOCATION:Rhyl Coast Rd; LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
39,"Park Rd, Ruthin LL15 1NB, UK",LOCATION:Park Rd; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
40,"High St, Wool, Wareham BH20 6BP, UK",LOCATION:UK,LOCATION,0.850
41,"100 High St, Poole BH15 1BL, UK",LOCATION:UK,LOCATION,0.850
42,"165-167, High St, Poole BH15 1AU, UK",LOCATION:High St; PERSON:1AU; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
43,"Technology Rd, Poole BH17 7DA, UK",PERSON:Poole BH17 7DA; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
44,"1 Factory Rd, Poole BH16 5SJ, UK",PERSON:Poole BH16; DATE_TIME:5SJ; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
45,"101 High St, Poole BH15 1AJ, UK",PERSON:Poole; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
46,"Waterloo Rd, Poole BH17 7EJ, UK",PERSON:Waterloo Rd; PERSON:Poole BH17 7EJ; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
47,"3 Banks Rd, Poole BH13 7PW, UK",PERSON:Poole BH13; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
48,"Longfleet Rd, Poole BH15 2JB, UK",PERSON:Poole; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
49,"West Quay Road, Asda, Poole BH15 1JQ, United Kingdom",LOCATION:West Quay Road; PERSON:Poole; DATE_TIME:1JQ; LOCATION:United Kingdom,LOCATION; PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
50,"106 Victoria Ave, Swanage BH19 1AS, UK",PERSON:Victoria Ave; PERSON:Swanage BH19; DATE_TIME:1AS; LOCATION:UK,PERSON; PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
51,"31 Blandford Rd, Poole BH15 4AT, UK",PERSON:Poole; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
52,"121 Parkstone Rd, Poole BH15 2PB, UK",PERSON:Parkstone Rd; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
53,"Wimborne Rd, Poole BH15 2BP, UK",PERSON:Wimborne Rd; PERSON:Poole; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
54,"R A C Tank Museum, Bovington, Wareham BH20 6JG, UK",LOCATION:Bovington; DATE_TIME:6JG; LOCATION:UK,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
55,"4 The Triangle, Poole BH16 5PG, UK",PERSON:Poole BH16; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
56,"29 Carey Rd, Wareham BH20 4AY, UK",PERSON:Carey Rd; LOCATION:Wareham; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
57,"1-14 St John's Hill, Wareham BH20 4FP, UK",PERSON:St John's Hill; LOCATION:Wareham; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
58,"High St, Poole BH15 1AB, UK",DATE_TIME:1AB; LOCATION:UK,DATE_TIME; LOCATION,0.850; 0.850
59,"11 Pitwines Cl, Poole BH15 1XU, UK",PERSON:Poole; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
60,"336 Cheriton Rd, Folkestone CT19 4DP, UK",LOCATION:UK,LOCATION,0.850
61,"70-72 Sandgate Rd, Folkestone CT20 2AA, UK",LOCATION:UK,LOCATION,0.850
62,"128 Sandgate Rd, Folkestone CT20 1AZ, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
63,"The Ship, 23 The Stade, Folkestone CT19 6AB, UK",LOCATION:Stade; LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
64,"21 Guildhall St, Folkestone CT20 1EE, UK",LOCATION:Guildhall St; LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
65,"5 Town Walk, Folkestone CT20 2AD, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
66,"97 Dover Rd, Folkestone CT20 1LA, UK",LOCATION:Dover Rd; LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
67,"Dover Rd, Folkestone CT19 6NH, UK",LOCATION:Dover Rd; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
68,"The Harbour, Marine Parade, FOLKSTONE CT20 1TX, UK",LOCATION:UK,LOCATION,0.850
69,"Cheriton High St, Cheriton CT19 4JE, UK",LOCATION:UK,LOCATION,0.850
70,"19 Bouverie Place, Asda, Folkestone CT20 1AU, United Kingdom",LOCATION:Folkestone; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
71,"37-39 Canterbury Rd, Folkestone CT19 5NH, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
72,"Enbrook Park, Sandgate High Street, Folkestone CT20 3SE, United Kingdom",LOCATION:Enbrook Park; LOCATION:Folkestone; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
73,"99 Enbrook Valley, Folkestone CT20 3NE, UK",LOCATION:Enbrook Valley; LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
74,"107 Canterbury Rd, Hawkinge, Folkestone CT18 7BS, UK",LOCATION:UK,LOCATION,0.850
75,"Eurotunnel, Terminal Building, Vehicle Departure Rd, Folkestone CT18 8XX, UK",LOCATION:Terminal Building; LOCATION:Folkestone CT18 8XX; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
76,"Purbeck House, Canterbury Rd, Lyminge, Folkestone CT18 8HU, UK",PERSON:Purbeck House; LOCATION:Canterbury Rd; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
77,"Cherry Garden Ln, Folkestone CT19 4AP, UK",PERSON:Cherry Garden Ln; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
78,"Defiant Cl, Hawkinge, Folkestone CT18 7RU, UK",LOCATION:UK,LOCATION,0.850
79,"127A Black Bull Rd, Folkestone CT19 5NU, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
80,"2 Moorfields, Liverpool L2 2BS, UK",LOCATION:UK; US_DRIVER_LICENSE:L2,LOCATION; US_DRIVER_LICENSE,0.850; 0.300
81,"86-88 N Hill St, Liverpool L8 8AG, UK",LOCATION:N Hill St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L8,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
82,"Gower St, Liverpool L3 4AD, UK",PERSON:Gower St; LOCATION:Liverpool; LOCATION:4AD; LOCATION:UK; US_DRIVER_LICENSE:L3,PERSON; LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.850; 0.300
83,"512 Mather Ave, Liverpool L19 4UG, UK",PERSON:Mather Ave; LOCATION:UK; US_DRIVER_LICENSE:L19,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
84,"Renshaw St, Liverpool L1 1DB, UK",LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L1,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
85,"James St, Liverpool L2 7PQ, UK",PERSON:James St; LOCATION:UK; US_DRIVER_LICENSE:L2,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
86,"Swanside Ave, Liverpool L14 7QH, UK",PERSON:Swanside Ave; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L14,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
87,"James St, Liverpool L2 7PQ, UK",PERSON:James St; LOCATION:UK; US_DRIVER_LICENSE:L2,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
88,"44 Chaloner St, Liverpool L3 4BF, UK",PERSON:Chaloner St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L3,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
89,"120 Stanley Park Ave N, Liverpool L4 9UF, UK",LOCATION:UK; US_DRIVER_LICENSE:L4,LOCATION; US_DRIVER_LICENSE,0.850; 0.300
90,"St John's Shopping Centre, Houghton St, Liverpool L1 1LY, United Kingdom",PERSON:St John's; LOCATION:Houghton St; LOCATION:Liverpool; LOCATION:United Kingdom; US_DRIVER_LICENSE:L1,PERSON; LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.850; 0.300
91,"188 Duke St, Liverpool L1 5EL, UK",PERSON:Duke St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
92,"Phoenix House Moorgate Road, Deacon Park, Liverpool L33 7RX, United Kingdom",PERSON:Deacon Park; LOCATION:Liverpool; LOCATION:United Kingdom; US_DRIVER_LICENSE:L33,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
93,"138 Liverpool Rd, Huyton, Liverpool L36 3RH, UK",LOCATION:Huyton; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L36,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
94,"50 St James St, Liverpool L1 0AB, UK",PERSON:St James St; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
95,"Fairclough St, Liverpool L1 1QE, UK",PERSON:Fairclough St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
96,"I M Marsh Campus, Barkhill Rd, Liverpool L17 6BD, UK",LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L17,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
97,"Canning Pl, Liverpool L1 8JX, UK",LOCATION:UK; US_DRIVER_LICENSE:L1,LOCATION; US_DRIVER_LICENSE,0.850; 0.300
98,"S John St, Liverpool L1 8BU, UK",PERSON:John St; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
99,"3 Byrom St, Liverpool L3 3AF, UK",PERSON:Byrom St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L3,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
100,"Barnetby Interchange, Barnetby DN20 0PA, UK",LOCATION:UK,LOCATION,0.850
101,"Market Pl, Epworth, Doncaster DN9 1EU, UK",LOCATION:Epworth; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
102,"Burringham Rd, Scunthorpe DN17 2XF, UK",LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
103,"Middle St, Lincolnshire LN7 6EA, UK",LOCATION:Middle St; LOCATION:Lincolnshire; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
104,"Gallagher Park, Scunthorpe DN15 8GR, United Kingdom",PERSON:Gallagher Park; LOCATION:Scunthorpe; LOCATION:United Kingdom,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
105,"140A High St, Scunthorpe DN15 6EN, UK",LOCATION:High St; LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
106,"181 Hessle Rd, Hull HU3 4AA, UK",PERSON:Hessle Rd; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
107,"98 Fox St, Scunthorpe DN15 7LD, UK",LOCATION:Fox St; LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
108,"40 Newland Ave, Scunthorpe DN15 7HQ, UK",LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
109,"21 Victoria St, Hessle HU13 9NL, UK",PERSON:Victoria St; PERSON:Hessle HU13 9NL; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
110,"391 Pelham Rd, Immingham DN40 1NG, UK",PERSON:Pelham Rd; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
111,"72 Oswald Rd, Scunthorpe DN15 7PG, UK",PERSON:Oswald Rd; LOCATION:Scunthorpe; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
112,"198 Cemetery Rd, Scunthorpe DN16 1NU, UK",LOCATION:Cemetery Rd; LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
113,"Lakeside Parkway, Scunthorpe, Morrisons, Humberside DN16 3UA, United Kingdom",LOCATION:Lakeside Parkway; LOCATION:Scunthorpe; LOCATION:Morrisons; LOCATION:Humberside; LOCATION:3UA; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850; 0.850; 0.850
114,"24 Victoria Rd, Barnetby DN38 6HT, UK",PERSON:Victoria Rd; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
115,"Ashby Rd, Scunthorpe DN16 2AQ, UK",PERSON:Ashby Rd; LOCATION:Scunthorpe; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
116,"13 Wendover Rd, Messingham, Scunthorpe DN17 3SN, UK",PERSON:Wendover Rd; LOCATION:Messingham; LOCATION:Scunthorpe; LOCATION:UK,PERSON; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
117,"49-53 Skillings Ln, Brough HU15 1BA, UK",PERSON:Skillings Ln; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
118,"85 Cottage Beck Rd, Scunthorpe DN16 1UE, UK",LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
119,"The Old Showground, Doncaster Rd, Scunthorpe DN15 7RQ, UK",LOCATION:Doncaster Rd; LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
120,"483A Great Western Rd, Aberdeen AB10 6NN, UK",LOCATION:Great Western Rd; LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
121,"Castle Road, Ellon, Aberdeenshire AB41 9RY, United Kingdom",LOCATION:Ellon; LOCATION:Aberdeenshire; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
122,"c/o Aberdeen International Airport, Dyce, Aberdeen AB21 7DU, United Kingdom",LOCATION:Dyce; LOCATION:Aberdeen; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
123,"170 Springfield Rd, Aberdeen AB15 7SD, UK",LOCATION:Springfield Rd; LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
124,"60-66 Mid Stocket Rd, Aberdeen AB15 5JB, UK",LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
125,"Seaforth St, Fraserburgh AB43 9BB, UK",PERSON:Seaforth St; NRP:Fraserburgh; LOCATION:UK,PERSON; NRP; LOCATION,0.850; 0.850; 0.850
126,"Asda, Jesmond Dr, Bridge of Don, Aberdeen AB22 8WQ, UK",PERSON:Jesmond Dr; PERSON:Bridge; LOCATION:Don; LOCATION:Aberdeen; LOCATION:UK,PERSON; PERSON; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850; 0.850
127,"The Pkwy, Bridge of Don, Aberdeen AB22 8AL, UK",LOCATION:Pkwy; LOCATION:Don; LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
128,"247 Heathryfold Cir, Aberdeen AB16 7DY, UK",LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
129,"Viewfield Cres, Aberdeen AB15 7XQ, UK",PERSON:Viewfield Cres; LOCATION:Aberdeen; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
130,"292 Rosemount Pl, Aberdeen AB25 2YA, UK",LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
131,"66 Garthdee Dr, Aberdeen AB10 7HY, UK",PERSON:Garthdee Dr; LOCATION:Aberdeen; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
132,"Garthdee Road, Aberdeen AB10 7FY, United Kingdom",PERSON:Garthdee Road; LOCATION:Aberdeen; LOCATION:United Kingdom,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
133,"153 Duff St, Macduff AB44 1PS, UK",PERSON:Duff St; PERSON:Macduff AB44; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
134,"1 Lintmill Terrace, Aberdeen AB16 7SR, UK",PERSON:Lintmill Terrace; LOCATION:Aberdeen; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
135,"79 Ellon Rd, Bridge of Don, Aberdeen AB23 8BY, UK",LOCATION:Don; LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
136,"40 Albyn Pl, Aberdeen AB10 1YN, UK",LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
137,"33 Summerhill Dr, Aberdeen AB15 6EQ, UK",PERSON:Summerhill Dr; LOCATION:Aberdeen; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
138,"Eday Road, Aberdeen AB15 6XS, United Kingdom",LOCATION:Eday Road; LOCATION:Aberdeen; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
139,"Main Rd, Methlick, Ellon AB41 7DT, UK",PERSON:Methlick; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
140,"24 Downshire Rd, Carneyhough Court, Newry BT34 1EE, UK",PERSON:Downshire Rd; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
141,"32 Buttercrane Quay, Newry BT35 8HJ, UK",LOCATION:Newry; DATE_TIME:8HJ; LOCATION:UK,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
142,"Kildare St, Newry BT34 1AR, UK",LOCATION:Kildare St; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
143,"63 Hill St, Newry BT34 1BT, UK",PERSON:Hill St; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
144,"53 Newry Rd, Crossmaglen, Newry BT35 9HQ, UK",LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
145,"Belfast Rd, Newry BT34 1QA, UK",LOCATION:Belfast Rd; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
146,"32 Hill St, Newry BT34 1AR, UK",LOCATION:Hill St; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
147,"Unit 6 Plaza Retail Park, Belfast Road, Newry BT34 1QA, United Kingdom",LOCATION:Belfast Road; LOCATION:Newry; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
148,"3-5 The Quays, Newry BT35 8AF, UK",LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
149,"1 Canal St, Newry BT35 6JB, UK",LOCATION:Canal St; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
150,"79-81 Monaghan St, Newry BT35 6AY, UK",LOCATION:Monaghan St; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
151,"Newry Rd, Warrenpoint BT34 3LD, UK",LOCATION:Warrenpoint; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
152,"124 Concession Rd, Crossmaglen, Newry BT35 9JE, UK",LOCATION:Newry; DATE_TIME:9JE; LOCATION:UK,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
153,"68 Edenappa Rd, Newry BT35 8HU, UK",PERSON:Edenappa Rd; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
