template_id,category,template
22,Account Management,"I need to verify my account. My name is &&forename&& &&surname&&, registered email: &&email&&, from &&location&&."
23,Account Management,"Can you help me recover my account? I'm &&forename&& &&surname&&, my email should be &&email&&, registered at &&location&&."
24,Account Management,"I want to delete my account permanently. Account details: &&forename&& &&surname&&, &&email&&, location: &&location&&."
25,Account Management,"Please merge my accounts. Primary: &&forename&& &&surname&&, email: &&email&&, associated with &&location&&."
26,Account Management,"I need to transfer my account to a new email. Current user: &&forename&& &&surname&&, old email: &&email&&, address: &&location&&."
27,Account Management,"Can you activate my account? Details: &&forename&& &&surname&&, email: &&email&&, registration address: &&location&&."
28,Account Management,"I want to suspend my account temporarily. User: &&forename&& &&surname&&, contact: &&email&&, account location: &&location&&."
29,Account Management,"Please reactivate my suspended account. I'm &&forename&& &&surname&&, email: &&email&&, originally from &&location&&."
30,Account Management,"I need to change my username. Current account: &&forename&& &&surname&&, email: &&email&&, registered at &&location&&."
31,Account Management,"Can you update my security settings? Account holder: &&forename&& &&surname&&, &&email&&, location: &&location&&."
32,Account Management,"I want to add two-factor authentication. My details: &&forename&& &&surname&&, email: &&email&&, based at &&location&&."
33,Account Management,"Please help me set up my profile. New user: &&forename&& &&surname&&, contact: &&email&&, location: &&location&&."
34,Account Management,"I need to link multiple accounts. Primary user: &&forename&& &&surname&&, main email: &&email&&, address: &&location&&."
35,Booking & Appointments,"I'd like to book an appointment. My name is &&forename&& &&surname&&, contact email: &&email&&, I'm located at &&location&&."
36,Booking & Appointments,"Can I schedule a consultation? I'm &&forename&& &&surname&&, you can reach me at &&email&&, address: &&location&&."
37,Booking & Appointments,"I need to reschedule my appointment. Customer: &&forename&& &&surname&&, email: &&email&&, appointment location: &&location&&."
38,Booking & Appointments,"Please cancel my booking. Details: &&forename&& &&surname&&, contact: &&email&&, originally booked for &&location&&."
39,Booking & Appointments,"I want to book a table for tonight. Name: &&forename&& &&surname&&, email: &&email&&, party location preference: &&location&&."
40,Booking & Appointments,"Can I reserve a service? Customer details: &&forename&& &&surname&&, &&email&&, service needed at &&location&&."
41,Booking & Appointments,"I'd like to book a delivery slot. My details: &&forename&& &&surname&&, email: &&email&&, delivery address: &&location&&."
42,Booking & Appointments,"Please schedule a pickup. Customer: &&forename&& &&surname&&, contact: &&email&&, pickup location: &&location&&."
43,Booking & Appointments,"I need to book urgent service. Name: &&forename&& &&surname&&, email: &&email&&, service address: &&location&&."
44,Booking & Appointments,"Can I schedule a follow-up? Previous customer: &&forename&& &&surname&&, &&email&&, service location: &&location&&."
45,Booking & Appointments,"I want to book a recurring service. Details: &&forename&& &&surname&&, contact: &&email&&, service address: &&location&&."
46,Booking & Appointments,"Please help me book group service. Organizer: &&forename&& &&surname&&, email: &&email&&, venue: &&location&&."
47,Booking & Appointments,"I need to modify my reservation. Customer: &&forename&& &&surname&&, contact: &&email&&, current booking: &&location&&."
48,Booking & Appointments,"Can I get a booking confirmation? Name: &&forename&& &&surname&&, email: &&email&&, booking location: &&location&&."
49,Booking & Appointments,"I'd like to check availability. Potential customer: &&forename&& &&surname&&, &&email&&, interested in &&location&&."
50,Product Inquiries,"I'm interested in your product. My name is &&forename&& &&surname&&, email: &&email&&, I'm shopping from &&location&&."
51,Product Inquiries,"Can you tell me more about pricing? Customer: &&forename&& &&surname&&, contact: &&email&&, shipping to &&location&&."
52,Product Inquiries,"I need product specifications. Inquiry from: &&forename&& &&surname&&, &&email&&, project location: &&location&&."
53,Product Inquiries,"Do you have this item in stock? Customer: &&forename&& &&surname&&, email: &&email&&, store preference: &&location&&."
54,Product Inquiries,"I want to compare products. Shopper: &&forename&& &&surname&&, contact: &&email&&, delivery area: &&location&&."
55,Product Inquiries,"Can I get a product demo? Interested party: &&forename&& &&surname&&, &&email&&, demo location: &&location&&."
56,Product Inquiries,"I need bulk pricing information. Business contact: &&forename&& &&surname&&, email: &&email&&, business address: &&location&&."
57,Product Inquiries,"Is there a warranty on this product? Customer: &&forename&& &&surname&&, contact: &&email&&, purchase location: &&location&&."
58,Product Inquiries,"I have questions about compatibility. User: &&forename&& &&surname&&, email: &&email&&, installation site: &&location&&."
59,Product Inquiries,"Can you recommend alternatives? Shopper: &&forename&& &&surname&&, &&email&&, shopping from &&location&&."
60,Product Inquiries,"I need installation support. Customer: &&forename&& &&surname&&, contact: &&email&&, install address: &&location&&."
61,Product Inquiries,"What's included in this package? Inquiry: &&forename&& &&surname&&, email: &&email&&, delivery to &&location&&."
62,Product Inquiries,"Can I customize this product? Customer: &&forename&& &&surname&&, &&email&&, project location: &&location&&."
63,Product Inquiries,"I need technical documentation. Requester: &&forename&& &&surname&&, contact: &&email&&, implementation at &&location&&."
64,Product Inquiries,"Is there educational pricing? Student: &&forename&& &&surname&&, email: &&email&&, institution: &&location&&."
65,Feedback & Reviews,"I'd like to leave feedback. Customer: &&forename&& &&surname&&, email: &&email&&, service received at &&location&&."
66,Feedback & Reviews,"I want to write a review. Previous customer: &&forename&& &&surname&&, contact: &&email&&, experience at &&location&&."
67,Feedback & Reviews,"I have a suggestion for improvement. User: &&forename&& &&surname&&, &&email&&, feedback from &&location&&."
68,Feedback & Reviews,"I'd like to report a positive experience. Happy customer: &&forename&& &&surname&&, email: &&email&&, service location: &&location&&."
69,Feedback & Reviews,"I want to share my success story. Satisfied client: &&forename&& &&surname&&, contact: &&email&&, project at &&location&&."
70,Feedback & Reviews,"I have constructive criticism. Customer: &&forename&& &&surname&&, &&email&&, experience at &&location&&."
71,Feedback & Reviews,"I'd like to recommend your service. Advocate: &&forename&& &&surname&&, email: &&email&&, referring from &&location&&."
72,Feedback & Reviews,"I want to participate in your survey. Participant: &&forename&& &&surname&&, contact: &&email&&, responding from &&location&&."
73,Feedback & Reviews,"I have ideas for new features. User: &&forename&& &&surname&&, &&email&&, using from &&location&&."
74,Feedback & Reviews,"I'd like to join your beta program. Volunteer: &&forename&& &&surname&&, contact: &&email&&, testing from &&location&&."
75,Personal Introductions,"Hi! I'm new here. My name is &&forename&& &&surname&&, email: &&email&&, just moved to &&location&&."
76,Personal Introductions,"Hello everyone! I'm &&forename&& &&surname&&, you can reach me at &&email&&, I'm based in &&location&&."
77,Personal Introductions,"Greetings! I'm &&forename&& &&surname&&, my contact email is &&email&&, and I work from &&location&&."
78,Personal Introductions,"Nice to meet you all! I'm &&forename&& &&surname&&, email &&email&&, originally from &&location&&."
79,Personal Introductions,"Hi there! I'm &&forename&& &&surname&&, feel free to email me at &&email&&, I live near &&location&&."
80,Personal Introductions,"Good morning! I'm &&forename&& &&surname&&, my email address is &&email&&, and I'm visiting &&location&&."
81,Personal Introductions,"Hello! I'm &&forename&& &&surname&&, you can contact me via &&email&&, currently staying at &&location&&."
82,Personal Introductions,"Hey everyone! I'm &&forename&& &&surname&&, drop me a line at &&email&&, I'm working in &&location&&."
83,Personal Introductions,"Pleased to meet you! I'm &&forename&& &&surname&&, my email is &&email&&, and I represent &&location&&."
84,Personal Introductions,"Good day! I'm &&forename&& &&surname&&, contact email: &&email&&, and I'm traveling through &&location&&."
85,Business Inquiries,"I'm interested in your services for my business. Contact: &&forename&& &&surname&&, email: &&email&&, business location: &&location&&."
86,Business Inquiries,"Can we discuss a partnership? Business owner: &&forename&& &&surname&&, &&email&&, company based at &&location&&."
87,Business Inquiries,"I'd like a quote for corporate services. Decision maker: &&forename&& &&surname&&, contact: &&email&&, office at &&location&&."
88,Business Inquiries,"We need enterprise solutions. Representative: &&forename&& &&surname&&, email: &&email&&, headquarters: &&location&&."
89,Business Inquiries,"I'm looking for B2B pricing. Procurement: &&forename&& &&surname&&, &&email&&, purchasing for &&location&&."
90,Business Inquiries,"Can you provide references? Potential client: &&forename&& &&surname&&, contact: &&email&&, evaluating for &&location&&."
91,Business Inquiries,"I need a service level agreement. Business contact: &&forename&& &&surname&&, email: &&email&&, site: &&location&&."
92,Business Inquiries,"We're interested in white-label solutions. Partner: &&forename&& &&surname&&, &&email&&, operations at &&location&&."
93,Business Inquiries,"I'd like to discuss volume discounts. Buyer: &&forename&& &&surname&&, contact: &&email&&, purchasing for &&location&&."
94,Business Inquiries,"Can we schedule a business consultation? Executive: &&forename&& &&surname&&, email: &&email&&, office location: &&location&&."
95,Business Inquiries,"I need integration support for our platform. Technical lead: &&forename&& &&surname&&, &&email&&, development at &&location&&."
96,Business Inquiries,"We're evaluating vendors. Evaluator: &&forename&& &&surname&&, contact: &&email&&, company at &&location&&."
97,Business Inquiries,"I want to discuss licensing terms. Legal contact: &&forename&& &&surname&&, email: &&email&&, jurisdiction: &&location&&."
98,Business Inquiries,"Can you provide training for our team? Manager: &&forename&& &&surname&&, &&email&&, team located at &&location&&."
99,Business Inquiries,"I'm interested in reseller opportunities. Sales prospect: &&forename&& &&surname&&, contact: &&email&&, territory: &&location&&."
